,poultry,maize,wheat,grains,beef,cheese,pig,sugar,soya,butter,oils,rice,sheep
MYS_1993_1996,29.4447987877,1.85570937576,39.4424860951,0.0247681394259,3.36768249917,0.131182919194,10.6905758574,4.39952681743e-06,4.39952681743e-06,0.46152583787,13.175608144,85.2407127335,0.502871334718
NGA_1993_1996,1.38077307564,48.1797939751,9.75430733047,87.458536575,1.72580703473,0.0688290231161,0.927422594356,8.40818605476e-07,0.923757683804,0.0964949696692,10.1007561557,18.4444576949,1.73606693184
NZL_1993_1996,19.7429730396,6.58727301296,22.9989637283,22.8835480176,25.6129931355,12.5736871749,12.3952112082,54.903503556,4.93965175257e-05,8.60234969704,12.8221284279,5.68056384116,26.3078527174
PAK_1993_1996,2.25138573937,7.32770174145,133.398345752,2.04327736852,4.54126185085,0.0013761949042,5.80092566869e-07,7.43708427326e-07,0.0040858620573,3.34865246029,13.2210939055,16.8599501523,4.28013544119
PER_1993_1996,12.6710127376,9.96103860337,51.4685040577,5.02015980015,3.34966047921,0.320229660968,2.59434786832,3.77966572556e-06,0.0102391492764,0.141940089867,6.4958230603,41.1233854563,0.979365461153
PHL_1993_1996,5.22202578218,16.0103689135,28.0761725223,9.13096265214e-06,2.00091196996,0.195937999803,9.42166566279,1.30442325051e-06,0.0249778627838,0.156830293546,4.83958680555,96.3738566165,0.382403815977
PRY_1993_1996,5.63878000471,41.4012088108,44.5750743702,1.38145814603,29.3464228332,0.132079158838,20.7876831815,1.91368301604e-05,13.9135562098,0.0029151370711,18.5845941471,13.1198882071,0.561347011801
RUS_1993_1996,9.31999878962,2.61262316532,106.030773754,34.4015208082,16.8934955056,2.07783491119,13.0154987426,25.6614071948,0.0,4.43301859091,7.53742966586,3.4816226071,1.80856369467
SAU_1993_1996,23.5587912574,0.268864493147,75.8915323524,3.78829326688,2.52008170042,2.09846171105,3.77485748378e-06,4.83956093042e-06,4.83956093042e-06,1.02714552432,7.38300444618,37.916498434,6.99136396999
SDN_1993_1996,0.000841896486,0.001408199257,0.0348152862177,0.0935634868975,0.0073553762765,0.0044955530315,3.0355e-09,3.0355e-09,3.0355e-09,0.00049911719625,0.0022256521965,0.00068309698625,0.00703986986075
THA_1993_1996,12.5292250722,0.951978950619,7.7757097057,0.528288731377,3.83917422596,0.0278761185098,6.41069260641,1.52490597151e-06,3.8514461621,0.202388600704,7.14647828107,125.11877557,0.0149101915558
TUR_1993_1996,7.06211132554,13.2593407524,204.69497634,4.24995891627,3.85323530033,2.431422942,0.0369195630355,1.55026732598e-06,0.44093804777,2.25493167974,18.2735834096,6.73549685586,5.51834761526
TZA_1993_1996,1.00244357103,69.3352230506,3.72760095802,23.8225774718,5.13505355872,0.0583348378238,0.251516879758,3.05962938962e-06,0.0333159647429,0.167515983602,4.44783360572,13.7954131048,1.06828082367
UKR_1993_1996,5.06939926441,0.491243397018,127.213311592,26.949031496,14.5080060232,1.73848225121,13.2515147424,1.76847624892e-06,0.283313712181,3.88690779763,7.80598442805,1.78786129834,0.618098285942
URY_1993_1996,10.1295600198,17.3155453131,97.0051347739,1.167995572,51.8473251608,3.54654974845,6.13011175029,2.80117143289e-05,1.1804347488,1.24753064455,9.81277299859,9.82561304669,13.6303879149
USA_1993_1996,39.0062064967,14.9327163313,89.8554120882,4.87258649807,30.4992637058,12.1151496466,23.3177917179,15.3011849238,0.0,2.15420406776,36.8114636352,12.1570079625,0.530788354155
VNM_1993_1996,2.09473782776,6.37978827217,5.02292978558,8.45783655325e-06,1.64893510405,0.0109932377268,10.0674969567,1.20826237817e-06,0.548210582861,0.0743268423094,2.5310226312,157.410699859,0.0441289304667
ZAF_1993_1996,13.909419375,96.9243041094,55.1493522602,4.91992026989,10.3334217236,0.964230387765,2.4650727808,2.1988286671e-06,0.156138987198,0.305207425903,15.1272224078,9.47511693303,3.6678005832
ZMB_1993_1996,2.45353136726,119.13180493,10.7932592359,7.55472669431,3.12551692452,0.116742500244,0.853912053806,9.85283149954e-06,1.31426462487,0.0418369893241,2.34169723265,1.21369910905,0.263999501044
ARG_1996_1999,21.3222057581,28.4368070536,116.066407447,15.4261409172,43.9010689284,11.3187788044,5.28843459469,36.6199797141,0.277546425927,1.25772346623,26.0956347257,5.94251531371,1.53484495591
AUS_1996_1999,25.972990147,3.7344145386,83.181656026,12.928969895,27.642694199,9.82695446745,14.8525646998,50.9705568583,0.0,4.15484778386,20.147846278,14.200723893,15.0452557036
BGD_1996_1999,0.818516041764,0.0790819032406,19.1226517953,0.490798025289,0.92895725662,0.00911715352132,5.62489936828e-07,7.21140952664e-07,7.21140952664e-07,0.14529858563,5.52654866181,145.321281468,0.891270590482
BRA_1996_1999,21.6793993872,20.2190245472,50.9962546155,1.73535035468,24.0555475113,2.58312800502,7.22067904401,51.8255630577,9.11345849149e-05,0.467860701682,18.5309437465,47.563835301,0.471180165913
CAN_1996_1999,28.5177109514,53.0725727137,91.0865356454,18.7469248746,23.2357101165,10.6039954992,21.6036852287,41.0885029848,15.3455289446,2.79728712838,36.2437800862,8.19761298116,0.699994318376
CHL_1996_1999,20.8814820689,11.2100209609,119.442726621,2.36622556302,16.5420947304,3.81447604103,11.1365037563,6.12804983481e-06,6.12804983481e-06,0.742702403621,12.9659675616,10.1920139831,0.748379211867
CHN_1996_1999,7.22200149562,4.99399447089,75.154290154,5.17575730441,2.45269381794,0.147042149938,22.5367728449,5.61399594092,4.80667178486,0.0629860388165,8.56339616179,84.9517830598,1.54909330396
COL_1996_1999,11.3134117737,32.6675324115,26.6423099474,1.53454047972,13.3943556911,1.32141029659,2.18750430522,2.31209298242e-06,0.142440143493,0.447404682264,14.8612571157,33.0697411826,0.276978358321
DZA_1996_1999,6.71360813244,3.57042344899,189.538720755,15.7543738196,2.95225374576,0.543036721673,0.0777608214679,2.99080085892e-06,2.99080085892e-06,0.380736059702,12.2564072865,1.76124399528,5.33893091259
EGY_1996_1999,7.02420385128,44.5081666,177.399575221,3.69959227049,6.83895237825,6.5365611067,0.050613618762,1.37782899605e-06,0.0413665305103,2.13399592853,12.0513216131,35.7295034308,1.21660021682
ETH_1996_1999,0.520039733416,40.1397898153,27.6968599292,68.4546751968,3.11774378798,0.0616687696959,0.012633714701,1.45773632785e-06,0.188289995814,0.201175082441,1.00258927435,0.174432084448,0.862017338084
EUN_1996_1999,17.396216802,9.86335338982,111.722917716,9.38738155314,12.6773643895,16.63683655,33.3435780017,34.8641742761,0.0,3.66522796581,21.2467880026,4.4720623735,2.69155093252
GHA_1996_1999,1.3067960041,47.3561869054,12.3069128576,22.5920365875,0.994599069953,0.00642058559848,0.64837633235,5.06719844415e-06,5.06719844415e-06,0.0236590558016,7.91638774425,14.4409385126,0.667739232707
HTI_1996_1999,2.8020177485,0.0235374694875,0.0301513576268,0.0100832228643,2.58632491923,6.940563625e-05,2.66634802216,0.0105267240955,1.100025e-08,6.684467e-06,0.00840308849575,0.030597667507,0.562974445439
IDN_1996_1999,3.34228680595,26.167257903,16.5983669861,0.19121858971,1.4008341107,0.0288409398098,2.300116493,4.40651903867e-07,6.58878703251,0.0430552605826,15.0306865484,152.862735927,0.397092100488
IND_1996_1999,0.626583606392,5.86149888673,55.7733530239,17.8152911669,1.43110322929,0.000102756318156,0.37842305293,8.94015515261e-08,0.46441849639,1.6236848027,8.43973109883,76.251538919,0.58904671497
IRN_1996_1999,10.1637803643,0.988677334678,169.982593492,0.428533665179,4.14018219498,3.16459914885,1.11418752946e-06,1.42844556647e-06,0.151302972719,2.26204351594,13.9414388538,32.2133292989,5.81408079259
ISR_1996_1999,40.6162023207,0.0020111526475,0.124566517802,0.00845841744,13.8060613547,0.0167349921488,1.47491427957,1.58205e-08,1.58205e-08,0.00133309073575,0.0182094719165,0.0142569571535,1.15933965679
JPN_1996_1999,12.2934568092,16.9706796179,42.0449784354,2.88437110474,8.21923095949,1.69501699423,13.1464190968,18.2160728656,6.86450845791,0.69220395803,16.5702695797,66.6788851951,0.433116452599
KAZ_1996_1999,2.96066294335,5.85809555011e-06,146.318515327,4.38835494006,16.9237098063,0.488260182512,4.74378103026,5.8580956152e-06,0.111855298417,0.697772705675,5.23578868113,8.25450370995,7.55252603499
KOR_1996_1999,8.75873352777,1.65515561119,46.8700022636,6.76772732106,7.45180676179,0.764128008268,15.9464719409,22.6736067028,9.24285586028,0.0774244478972,12.8169822368,102.300994512,0.174014769074
MEX_1996_1999,15.0744444613,150.343599696,40.1742679273,5.47749029077,10.1311905016,2.07511992083,7.93814033597,37.8027074065,0.0,0.661149960933,15.7413757173,7.32405791294,0.49638614641
MOZ_1996_1999,1.73810493872,54.564077111,12.2789397285,17.2864311378,0.595108016217,0.0271638307193,0.548049949778,5.26971111411e-06,5.26971111411e-06,0.0456446060346,5.37886193063,11.6838250744,1.14388625975
MYS_1996_1999,29.1865441583,1.80110621988,39.1696700641,2.85526222587e-05,3.57031671736,0.150653963508,8.87494635745,4.07894608228e-06,4.07894608228e-06,0.401740291577,17.7469780776,82.2891308069,0.55862205307
NGA_1996_1999,1.30977708738,38.7268978609,12.8575004939,87.7197369335,1.77824371233,0.0610038452162,0.985891852803,7.8012295982e-07,1.56424105065,0.0845015857249,10.1042144969,20.7893682984,2.11095843931
NZL_1996_1999,22.079107019,4.84512746455,26.9229730097,19.4098055375,24.8471642799,13.6097869174,12.5669919284,54.903503556,4.77805854196e-05,8.33505823443,12.6725087507,7.02495515996,22.6170367974
PAK_1996_1999,2.29376066739,7.57135430061,132.449627594,1.91251689746,4.3655201998,0.00202148018203,5.38618867033e-07,6.90537016689e-07,0.00585684117607,3.50297958519,13.939785074,16.7091714018,2.98284577795
PER_1996_1999,15.9119453078,12.8449110575,51.7884169286,5.85229078212,3.62248952749,0.32025080637,2.41379497357,3.59994099844e-06,0.0144821424684,0.199049310779,8.19851881967,45.5920008943,1.06277369466
PHL_1996_1999,6.13594452108,17.8222810969,26.6392775997,8.53529377089e-06,2.71592628557,0.205220269182,11.8697159673,1.2193276951e-06,0.0116000203709,0.149717083332,5.6662112405,95.9491661616,0.372279975022
PRY_1996_1999,6.63399602435,44.6656080402,41.7146205232,0.000125214080701,28.3202873338,0.183507787623,18.4023075963,1.78877260132e-05,14.0186258665,0.010266709987,21.6049562668,12.9595887962,0.524706623891
RUS_1996_1999,8.52048902844,2.28766598211,107.601110471,33.6840118005,14.0841492428,1.7998901285,11.486807045,32.5594261949,0.0,2.87562059217,10.1573718166,4.38098433903,1.18208243813
SAU_1996_1999,28.957728627,0.273671709081,77.6393820599,3.8363341898,2.39152907552,3.09045106514,3.50092339344e-06,4.4883633748e-06,4.4883633748e-06,1.34970786216,8.046061876,37.5954491549,6.42594977744
